version,path,asset_role,classification,rationale,next_action
V2.34,private_learning\preproduction_critical_minerals_source_boundary\exact_source_to_claim_validation_pass_1.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\exact_source_to_claim_validation_pass_2_limitations.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\final_private_leakage_and_claim_boundary_scan.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\preproduction_track_final_archive_summary.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\private_public_safe_outline_sanitization_pass_1.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\public_safe_draft_candidate_no_file_edits.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\public_safe_outline_feasibility_decision_record.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\public_safe_text_packet_without_repository_edits.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\supervisor_classification_decision_pass_1.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\supervisor_documentation_builder_outline_review_decision.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\supervisor_final_outline_gate_decision.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\supervisor_limitation_classification_decision_pass_2.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\supervisor_limitation_classification_decision_pass_3.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\supervisor_public_readiness_decision_record_text_packet_only.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\supervisor_public_safe_draft_candidate_final_review.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\supervisor_public_safe_outline_sanitization_decision.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\v21_v22_manual_classification_pass_1.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\preproduction_critical_minerals_source_boundary\v21_v22_source_inventory_interpretation_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\preproduction_critical_minerals_source_boundary\v21_v22_source_inventory_review_export.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\preproduction_critical_minerals_source_boundary\v21_v22_source_to_claim_boundary_table.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\project_status_snapshots\project_status_snapshot_after_critical_minerals_preproduction.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\v21_v22_case_study_rebuild\CASE_STUDY_REBUILD_AUDIT.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\case_study_rebuild_inventory.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,private_learning\v21_v22_case_study_rebuild\case_study_rebuild_language_findings.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,private_learning\v21_v22_case_study_rebuild\docs_data_sources.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\docs_limitations.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\docs_methodology.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\docs_v2_1_mine_production_concentration_case_study.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\docs_v2_2_processing_refining_concentration_case_study.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\docs_validation_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\outputs_briefs_processing_refining_concentration_snapshot_brief.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\outputs_briefs_strategic_exposure_brief.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\PROJECT_CHANGELOG.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\PROJECT_FILE_REGISTRY.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\PROJECT_STATE.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\PROJECT_STATUS_SNAPSHOT.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\README.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\post_push_public_readiness\github_screenshot_checklist.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\post_push_public_readiness\gpt_routing_snippets_post_push_readiness.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v21_v22_case_study_rebuild\post_push_public_readiness\post_push_public_readiness_workflow.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,private_learning\v3_analytical_redesign_feasibility\V3_0_MINERAL_STAGE_CELL_VALIDATION.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
